name,raw_data_path,snp,A1,A2,beta_hat,se,pos,p_value,sample_size,chrom,pub_sample_size,neale_format,effect_is_or
kettunen_ApoA1,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_ApoA1.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_ApoB,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_ApoB.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_HDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_HDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_HDL.D,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_HDL.D.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_IDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_IDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_IDL.FC,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_IDL.FC.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_IDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_IDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_IDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_IDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_IDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_IDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_IDL.TG,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_IDL.TG.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.HDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.HDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.HDL.CE,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.HDL.CE.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.HDL.FC,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.HDL.FC.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.HDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.HDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.HDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.HDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.HDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.HDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.LDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.LDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.LDL.CE,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.LDL.CE.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.LDL.FC,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.LDL.FC.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.LDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.LDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.LDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.LDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.LDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.LDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.VLDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.VLDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.VLDL.CE,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.VLDL.CE.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.VLDL.FC,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.VLDL.FC.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.VLDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.VLDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.VLDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.VLDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.VLDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.VLDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_L.VLDL.TG,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_L.VLDL.TG.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_LDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_LDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_LDL.D,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_LDL.D.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.HDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.HDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.HDL.CE,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.HDL.CE.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.HDL.FC,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.HDL.FC.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.HDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.HDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.HDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.HDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.HDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.HDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.LDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.LDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.LDL.CE,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.LDL.CE.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.LDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.LDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.LDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.LDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.LDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.LDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.VLDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.VLDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.VLDL.CE,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.VLDL.CE.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.VLDL.FC,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.VLDL.FC.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.VLDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.VLDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.VLDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.VLDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.VLDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.VLDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_M.VLDL.TG,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_M.VLDL.TG.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.HDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.HDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.HDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.HDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.HDL.TG,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.HDL.TG.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.LDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.LDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.LDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.LDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.LDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.LDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.VLDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.VLDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.VLDL.FC,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.VLDL.FC.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.VLDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.VLDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.VLDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.VLDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.VLDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.VLDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_S.VLDL.TG,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_S.VLDL.TG.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_Serum.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_Serum.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_Serum.TG,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_Serum.TG.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_VLDL.D,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_VLDL.D.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.HDL.C,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.HDL.C.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.HDL.CE,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.HDL.CE.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.HDL.FC,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.HDL.FC.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.HDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.HDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.HDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.HDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.HDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.HDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.HDL.TG,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.HDL.TG.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.VLDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.VLDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.VLDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.VLDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.VLDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.VLDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XL.VLDL.TG,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XL.VLDL.TG.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XS.VLDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XS.VLDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XS.VLDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XS.VLDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XS.VLDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XS.VLDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XS.VLDL.TG,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XS.VLDL.TG.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XXL.VLDL.L,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XXL.VLDL.L.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XXL.VLDL.P,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XXL.VLDL.P.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XXL.VLDL.PL,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XXL.VLDL.PL.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
kettunen_XXL.VLDL.TG,/project2/compbio/gwas_summary_statistics/metabolites_2016/Summary_statistics_MAGNETIC_XXL.VLDL.TG.txt.gz,ID,EA,NEA,beta,se,position,p-value,n_samples,chromosome,24925,FALSE,No
giant_bmi,/project2/compbio/gwas_summary_statistics/standard_formats/mrcieu/ieu-a-2.vcf.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,339224,FALSE,No
vanderHarst_cad,/project2/compbio/gwas_summary_statistics/cad_2017/CAD_META.gz,oldID,Allele1,Allele2,Effect,StdErr,BP,P-value,NA,CHR,547261,FALSE,No
megastroke_as,/project2/compbio/gwas_summary_statistics/standard_formats/mrcieu/ebi-a-GCST006906.vcf.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,446696,FALSE,No
manning_fg,/project2/compbio/gwas_summary_statistics/standard_formats/mrcieu/ebi-a-GCST005186.vcf.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,58074,FALSE,No
xue_t2d,/project2/compbio/gwas_summary_statistics/standard_formats/mrcieu/ebi-a-GCST006867.vcf.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,655666,FALSE,No
mrcieu_waistcirc,/project2/compbio/gwas_summary_statistics/standard_formats/mrcieu/ukb-b-9405.vcf.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,462166,FALSE,No
mrcieu_bmi,/project2/compbio/gwas_summary_statistics/standard_formats/mrcieu/ukb-b-19953.vcf.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,461460,FALSE,No
cplusc4d_mi,/project2/compbio/gwas_summary_statistics/standard_formats/mrcieu/ieu-a-798.vcf.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,171875,FALSE,No
